trackname,artistname,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,duration_min,msplayed_min,major_genre,danceability_norm,energy_norm,speechiness_norm,acousticness_norm,instrumentalness_norm,valence_norm,tempo_norm,loudness_norm
1984,glaive,glitchcore,0.665,0.746,9.0,-2.98,1.0,0.044,0.012,0.0,0.148,0.426,134.999,audio_features,1BqhfAEw4jigpJl0O23jnS,spotify:track:1BqhfAEw4jigpJl0O23jnS,https://api.spotify.com/v1/tracks/1BqhfAEw4jigpJl0O23jnS,https://api.spotify.com/v1/audio-analysis/1BqhfAEw4jigpJl0O23jnS,4.0,2.504,7.647,EDM,0.681,0.746,0.046,0.013,0.0,0.432,0.572,0.867
1985,Bo Burnham,comic,0.646,0.724,4.0,-7.466,0.0,0.048,0.043,0.0,0.333,0.894,155.85,audio_features,0yNiaePZow0ycdrmLV0J7y,spotify:track:0yNiaePZow0ycdrmLV0J7y,https://api.spotify.com/v1/tracks/0yNiaePZow0ycdrmLV0J7y,https://api.spotify.com/v1/audio-analysis/0yNiaePZow0ycdrmLV0J7y,4.0,2.444,1.603,Other,0.662,0.724,0.049,0.043,0.0,0.907,0.66,0.767
1992,Bruises,Unknown,0.579,0.851,5.0,-7.261,1.0,0.028,0.002,0.053,0.219,0.372,120.01,audio_features,537debqnr9NGTDEgnftd8y,spotify:track:537debqnr9NGTDEgnftd8y,https://api.spotify.com/v1/tracks/537debqnr9NGTDEgnftd8y,https://api.spotify.com/v1/audio-analysis/537debqnr9NGTDEgnftd8y,4.0,3.133,348.457,Unknown,0.593,0.852,0.029,0.002,0.054,0.377,0.508,0.772
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,alternative metal,0.471,0.927,1.0,-5.76,1.0,0.05,0.003,0.537,0.115,0.232,96.149,audio_features,6bz9irEuD1Ius2hcHIKRZh,spotify:track:6bz9irEuD1Ius2hcHIKRZh,https://api.spotify.com/v1/tracks/6bz9irEuD1Ius2hcHIKRZh,https://api.spotify.com/v1/audio-analysis/6bz9irEuD1Ius2hcHIKRZh,4.0,5.767,5.767,Rock/Metal,0.483,0.928,0.051,0.003,0.541,0.235,0.407,0.805
2 AM,Marco Luka,Unknown,0.661,0.528,5.0,-9.347,0.0,0.035,0.176,0.0,0.092,0.137,150.004,audio_features,5j8xLQBvlVvTfLUDwyQX5S,spotify:track:5j8xLQBvlVvTfLUDwyQX5S,https://api.spotify.com/v1/tracks/5j8xLQBvlVvTfLUDwyQX5S,https://api.spotify.com/v1/audio-analysis/5j8xLQBvlVvTfLUDwyQX5S,4.0,2.88,2.877,Unknown,0.677,0.528,0.037,0.177,0.0,0.139,0.635,0.726
2009,glaive,glitchcore,0.473,0.849,5.0,-2.434,0.0,0.052,0.26,0.0,0.103,0.61,79.538,audio_features,1LWYInY2Cl77jqgF4U1CJd,spotify:track:1LWYInY2Cl77jqgF4U1CJd,https://api.spotify.com/v1/tracks/1LWYInY2Cl77jqgF4U1CJd,https://api.spotify.com/v1/audio-analysis/1LWYInY2Cl77jqgF4U1CJd,4.0,1.839,1.83,EDM,0.485,0.85,0.054,0.261,0.0,0.619,0.337,0.879
2019,Bazanji,deep underground hip hop,0.596,0.881,11.0,-5.228,0.0,0.119,0.153,0.0,0.16,0.302,147.038,audio_features,4DERbz1e89YD9VZt7or9GB,spotify:track:4DERbz1e89YD9VZt7or9GB,https://api.spotify.com/v1/tracks/4DERbz1e89YD9VZt7or9GB,https://api.spotify.com/v1/audio-analysis/4DERbz1e89YD9VZt7or9GB,4.0,1.871,0.389,Hip-Hop/Rap,0.611,0.882,0.123,0.154,0.0,0.306,0.623,0.817
2021,Lauv,pop,0.849,0.489,0.0,-7.433,1.0,0.051,0.683,0.0,0.108,0.345,113.977,audio_features,49WWSaa9yKrvsj8PhsIWmc,spotify:track:49WWSaa9yKrvsj8PhsIWmc,https://api.spotify.com/v1/tracks/49WWSaa9yKrvsj8PhsIWmc,https://api.spotify.com/v1/audio-analysis/49WWSaa9yKrvsj8PhsIWmc,4.0,3.266,3.266,Pop,0.87,0.489,0.053,0.686,0.0,0.35,0.483,0.768
2055,Sleepy Hallow,brooklyn drill,0.829,0.512,6.0,-5.865,0.0,0.187,0.492,0.0,0.12,0.638,80.511,audio_features,4XvcHTUfIlWfyJTRG0aqlo,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,https://api.spotify.com/v1/tracks/4XvcHTUfIlWfyJTRG0aqlo,https://api.spotify.com/v1/audio-analysis/4XvcHTUfIlWfyJTRG0aqlo,4.0,2.066,1.46,Hip-Hop/Rap,0.849,0.512,0.194,0.494,0.0,0.647,0.341,0.803
20s,Comfort Club,Unknown,0.67,0.418,5.0,-7.74,1.0,0.027,0.13,0.0,0.353,0.413,101.936,audio_features,691DKk2mvknCGvaQD4OTyD,spotify:track:691DKk2mvknCGvaQD4OTyD,https://api.spotify.com/v1/tracks/691DKk2mvknCGvaQD4OTyD,https://api.spotify.com/v1/audio-analysis/691DKk2mvknCGvaQD4OTyD,4.0,2.917,0.333,Unknown,0.686,0.418,0.028,0.131,0.0,0.419,0.432,0.761
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,classical,0.32,0.127,7.0,-15.953,0.0,0.037,0.929,0.813,0.25,0.272,144.451,audio_features,2SvULYdmPes23yZQYeLkXV,spotify:track:2SvULYdmPes23yZQYeLkXV,https://api.spotify.com/v1/tracks/2SvULYdmPes23yZQYeLkXV,https://api.spotify.com/v1/audio-analysis/2SvULYdmPes23yZQYeLkXV,3.0,2.263,4.526,Classical,0.328,0.126,0.038,0.933,0.819,0.276,0.612,0.579
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor",Seattle Symphony Orchestra,american orchestra,0.227,0.067,7.0,-21.772,0.0,0.04,0.831,0.392,0.083,0.256,82.568,audio_features,6yhioaNcLd5qwei5S0HQsu,spotify:track:6yhioaNcLd5qwei5S0HQsu,https://api.spotify.com/v1/tracks/6yhioaNcLd5qwei5S0HQsu,https://api.spotify.com/v1/audio-analysis/6yhioaNcLd5qwei5S0HQsu,4.0,2.898,2.896,Classical,0.233,0.066,0.042,0.834,0.395,0.26,0.35,0.45
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,classical,0.358,0.167,7.0,-16.0,0.0,0.035,0.899,0.96,0.103,0.601,144.561,audio_features,2oLjhx7w8Hyd3gry9cCXr7,spotify:track:2oLjhx7w8Hyd3gry9cCXr7,https://api.spotify.com/v1/tracks/2oLjhx7w8Hyd3gry9cCXr7,https://api.spotify.com/v1/audio-analysis/2oLjhx7w8Hyd3gry9cCXr7,4.0,2.312,30.864,Classical,0.367,0.166,0.037,0.903,0.967,0.61,0.612,0.578
22,Taylor Swift,pop,0.642,0.695,7.0,-5.62,1.0,0.028,0.0,0.0,0.075,0.642,103.984,audio_features,3yII7UwgLF6K5zW3xad3MP,spotify:track:3yII7UwgLF6K5zW3xad3MP,https://api.spotify.com/v1/tracks/3yII7UwgLF6K5zW3xad3MP,https://api.spotify.com/v1/audio-analysis/3yII7UwgLF6K5zW3xad3MP,4.0,3.849,9.917,Pop,0.658,0.695,0.029,0.0,0.0,0.651,0.44,0.808
24,sundial,Unknown,0.839,0.525,2.0,-4.873,1.0,0.131,0.03,0.0,0.302,0.831,135.996,audio_features,5nsMKSAJwcr1pA9I6PW429,spotify:track:5nsMKSAJwcr1pA9I6PW429,https://api.spotify.com/v1/tracks/5nsMKSAJwcr1pA9I6PW429,https://api.spotify.com/v1/audio-analysis/5nsMKSAJwcr1pA9I6PW429,4.0,2.232,2.232,Unknown,0.86,0.525,0.136,0.03,0.0,0.843,0.576,0.825
24 Hours,Alexander Stewart,singer-songwriter pop,0.512,0.748,10.0,-7.338,1.0,0.038,0.091,0.0,0.204,0.338,143.999,audio_features,1ZGxwxXbpeydURjPS9mrmL,spotify:track:1ZGxwxXbpeydURjPS9mrmL,https://api.spotify.com/v1/tracks/1ZGxwxXbpeydURjPS9mrmL,https://api.spotify.com/v1/audio-analysis/1ZGxwxXbpeydURjPS9mrmL,4.0,3.306,30.33,Pop,0.525,0.748,0.039,0.091,0.0,0.343,0.61,0.77
24/7,The Neighbourhood,modern alternative rock,0.587,0.744,7.0,-4.611,0.0,0.074,0.002,0.002,0.114,0.236,118.962,audio_features,4Cdb1dE3pfiWlqnAIcImyQ,spotify:track:4Cdb1dE3pfiWlqnAIcImyQ,https://api.spotify.com/v1/tracks/4Cdb1dE3pfiWlqnAIcImyQ,https://api.spotify.com/v1/audio-analysis/4Cdb1dE3pfiWlqnAIcImyQ,4.0,3.666,3.663,Rock/Metal,0.601,0.744,0.077,0.002,0.002,0.239,0.504,0.831
26,Lauv,pop,0.643,0.458,6.0,-8.636,1.0,0.088,0.809,0.0,0.237,0.506,164.16,audio_features,4CLDrNSJcJQIeFkHCLM3gb,spotify:track:4CLDrNSJcJQIeFkHCLM3gb,https://api.spotify.com/v1/tracks/4CLDrNSJcJQIeFkHCLM3gb,https://api.spotify.com/v1/audio-analysis/4CLDrNSJcJQIeFkHCLM3gb,4.0,2.66,13.802,Pop,0.659,0.458,0.091,0.812,0.0,0.513,0.695,0.742
27,Loving Caliber,scandipop,0.612,0.362,0.0,-7.85,1.0,0.031,0.686,0.0,0.111,0.459,140.043,audio_features,3r7W1Kne3d3KE1JPNYiFWm,spotify:track:3r7W1Kne3d3KE1JPNYiFWm,https://api.spotify.com/v1/tracks/3r7W1Kne3d3KE1JPNYiFWm,https://api.spotify.com/v1/audio-analysis/3r7W1Kne3d3KE1JPNYiFWm,4.0,3.523,47.643,Pop,0.627,0.362,0.032,0.689,0.0,0.466,0.593,0.759
27 Reasons,WILLIS,alabama indie,0.522,0.624,11.0,-8.359,0.0,0.032,0.157,0.006,0.253,0.352,130.477,audio_features,1rNOZOHhqdTG3tnt3oMNYq,spotify:track:1rNOZOHhqdTG3tnt3oMNYq,https://api.spotify.com/v1/tracks/1rNOZOHhqdTG3tnt3oMNYq,https://api.spotify.com/v1/audio-analysis/1rNOZOHhqdTG3tnt3oMNYq,4.0,3.479,0.325,Other,0.535,0.624,0.033,0.158,0.006,0.357,0.552,0.748
29,Chris James,singer-songwriter pop,0.777,0.597,4.0,-5.125,1.0,0.05,0.51,0.0,0.107,0.9,133.854,audio_features,0ahoVVrk5FRFzVF8Fp7Pzp,spotify:track:0ahoVVrk5FRFzVF8Fp7Pzp,https://api.spotify.com/v1/tracks/0ahoVVrk5FRFzVF8Fp7Pzp,https://api.spotify.com/v1/audio-analysis/0ahoVVrk5FRFzVF8Fp7Pzp,4.0,2.305,2.305,Pop,0.796,0.597,0.051,0.512,0.0,0.913,0.567,0.819
29,Run River North,stomp and holler,0.439,0.903,7.0,-4.655,0.0,0.069,0.0,0.0,0.249,0.275,156.974,audio_features,0y30gL6j3y3xDxK3sCOctP,spotify:track:0y30gL6j3y3xDxK3sCOctP,https://api.spotify.com/v1/tracks/0y30gL6j3y3xDxK3sCOctP,https://api.spotify.com/v1/audio-analysis/0y30gL6j3y3xDxK3sCOctP,4.0,3.452,0.605,Other,0.45,0.904,0.072,0.0,0.0,0.279,0.665,0.83
