trackname,artistname,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,duration_min,msplayed_min,major_genre,danceability_norm,energy_norm,speechiness_norm,acousticness_norm,instrumentalness_norm,valence_norm,tempo_norm,loudness_norm
sleeptight,DRWN.,chillhop,0.371,0.06,4.0,-13.516,0.0,0.168,0.888,0.828,0.073,0.375,236.196,audio_features,0I51DCEQPXoPRqsYQBII4H,spotify:track:0I51DCEQPXoPRqsYQBII4H,https://api.spotify.com/v1/tracks/0I51DCEQPXoPRqsYQBII4H,https://api.spotify.com/v1/audio-analysis/0I51DCEQPXoPRqsYQBII4H,3.0,2.433,2.433,Lo-Fi/Chill,0.38,0.06,0.174,0.892,0.834,0.38,1.0,0.633
sleepwalking,Mokita,chill pop,0.55,0.534,6.0,-7.157,1.0,0.028,0.454,0.0,0.072,0.407,80.003,audio_features,4VLX1i52yOU3uDUz3xYNgz,spotify:track:4VLX1i52yOU3uDUz3xYNgz,https://api.spotify.com/v1/tracks/4VLX1i52yOU3uDUz3xYNgz,https://api.spotify.com/v1/audio-analysis/4VLX1i52yOU3uDUz3xYNgz,4.0,3.6,7.23,Pop,0.564,0.534,0.029,0.456,0.0,0.413,0.339,0.774
slide thru (feat. Jerry Good),blackbear,pop,0.585,0.512,1.0,-9.764,0.0,0.527,0.473,0.0,0.131,0.698,121.896,audio_features,1qYP1ilykWbJr5wF85SNQV,spotify:track:1qYP1ilykWbJr5wF85SNQV,https://api.spotify.com/v1/tracks/1qYP1ilykWbJr5wF85SNQV,https://api.spotify.com/v1/audio-analysis/1qYP1ilykWbJr5wF85SNQV,4.0,3.088,3.297,Pop,0.599,0.512,0.546,0.475,0.0,0.708,0.516,0.716
slow down my thoughts,Zachary Knowles,bedroom soul,0.732,0.421,1.0,-8.364,0.0,0.088,0.685,0.0,0.224,0.482,126.943,audio_features,6NU3w0CtU7g9boAarIAkO4,spotify:track:6NU3w0CtU7g9boAarIAkO4,https://api.spotify.com/v1/tracks/6NU3w0CtU7g9boAarIAkO4,https://api.spotify.com/v1/audio-analysis/6NU3w0CtU7g9boAarIAkO4,4.0,3.858,3.856,R&B/Soul,0.75,0.421,0.091,0.688,0.0,0.489,0.537,0.748
slow summer,Zachary Knowles,bedroom soul,0.658,0.431,5.0,-8.902,1.0,0.044,0.817,0.0,0.21,0.464,90.003,audio_features,4JEGeqPF0RH7oi1lHdtbK6,spotify:track:4JEGeqPF0RH7oi1lHdtbK6,https://api.spotify.com/v1/tracks/4JEGeqPF0RH7oi1lHdtbK6,https://api.spotify.com/v1/audio-analysis/4JEGeqPF0RH7oi1lHdtbK6,4.0,2.813,62.706,R&B/Soul,0.674,0.431,0.045,0.82,0.0,0.471,0.381,0.736
slower,Tate McRae,alt z,0.589,0.364,1.0,-8.079,0.0,0.042,0.595,0.0,0.334,0.21,104.991,audio_features,1bd4heB3yXc5iFTPoOMPuo,spotify:track:1bd4heB3yXc5iFTPoOMPuo,https://api.spotify.com/v1/tracks/1bd4heB3yXc5iFTPoOMPuo,https://api.spotify.com/v1/audio-analysis/1bd4heB3yXc5iFTPoOMPuo,4.0,3.127,73.921,Pop,0.603,0.364,0.043,0.597,0.0,0.213,0.445,0.754
smile again,blackbear,pop,0.68,0.423,6.0,-6.279,1.0,0.032,0.597,0.0,0.371,0.686,85.042,audio_features,0rWMOzZ7fFYZWI1qlCY4Ig,spotify:track:0rWMOzZ7fFYZWI1qlCY4Ig,https://api.spotify.com/v1/tracks/0rWMOzZ7fFYZWI1qlCY4Ig,https://api.spotify.com/v1/audio-analysis/0rWMOzZ7fFYZWI1qlCY4Ig,4.0,2.488,4.97,Pop,0.697,0.423,0.033,0.599,0.0,0.696,0.36,0.794
smiling when i die,Sasha Alex Sloan,alt z,0.753,0.41,0.0,-10.636,0.0,0.132,0.817,0.002,0.104,0.23,92.999,audio_features,7yCyhsU75MYdbeqRLhLY51,spotify:track:7yCyhsU75MYdbeqRLhLY51,https://api.spotify.com/v1/tracks/7yCyhsU75MYdbeqRLhLY51,https://api.spotify.com/v1/audio-analysis/7yCyhsU75MYdbeqRLhLY51,4.0,3.441,53.649,Pop,0.772,0.41,0.137,0.82,0.002,0.233,0.394,0.697
snowfall,kairos,lo-fi sleep,0.492,0.051,2.0,-23.325,1.0,0.032,0.979,0.915,0.095,0.058,128.159,audio_features,0JJOMTq5ct7VdYlimQ7pJL,spotify:track:0JJOMTq5ct7VdYlimQ7pJL,https://api.spotify.com/v1/tracks/0JJOMTq5ct7VdYlimQ7pJL,https://api.spotify.com/v1/audio-analysis/0JJOMTq5ct7VdYlimQ7pJL,4.0,3.562,7.125,Lo-Fi/Chill,0.504,0.05,0.033,0.983,0.921,0.059,0.543,0.415
snowflake (feat. Jaden & Sarcastic Sounds),Powfu,sad lo-fi,0.419,0.408,9.0,-10.899,0.0,0.25,0.95,0.0,0.35,0.502,62.829,audio_features,7KW1AtQKFToSoF1kmyk2wE,spotify:track:7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/tracks/7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/audio-analysis/7KW1AtQKFToSoF1kmyk2wE,4.0,3.125,55.394,Lo-Fi/Chill,0.429,0.408,0.259,0.954,0.0,0.509,0.266,0.691
sobbing in cabo,blackbear,pop,0.596,0.794,7.0,-5.366,1.0,0.034,0.019,0.0,0.1,0.246,97.0,audio_features,64rdMeK4S6axnbekny7G2D,spotify:track:64rdMeK4S6axnbekny7G2D,https://api.spotify.com/v1/tracks/64rdMeK4S6axnbekny7G2D,https://api.spotify.com/v1/audio-analysis/64rdMeK4S6axnbekny7G2D,4.0,3.117,3.116,Pop,0.611,0.795,0.035,0.019,0.0,0.249,0.411,0.814
someone wholl care,luca.,lo-fi chill,0.434,0.299,10.0,-12.924,1.0,0.029,0.615,0.001,0.068,0.147,109.904,audio_features,3qpq58IwLwMtsZ667ch7BP,spotify:track:3qpq58IwLwMtsZ667ch7BP,https://api.spotify.com/v1/tracks/3qpq58IwLwMtsZ667ch7BP,https://api.spotify.com/v1/audio-analysis/3qpq58IwLwMtsZ667ch7BP,4.0,2.742,2.742,Lo-Fi/Chill,0.445,0.299,0.03,0.617,0.001,0.149,0.465,0.646
sometimes,Heather Sommer,alt z,0.679,0.525,9.0,-8.721,1.0,0.059,0.09,0.0,0.09,0.333,106.871,audio_features,5CwA7YPNAcXVJmazELgRc0,spotify:track:5CwA7YPNAcXVJmazELgRc0,https://api.spotify.com/v1/tracks/5CwA7YPNAcXVJmazELgRc0,https://api.spotify.com/v1/audio-analysis/5CwA7YPNAcXVJmazELgRc0,4.0,2.729,75.724,Pop,0.696,0.525,0.061,0.09,0.0,0.338,0.452,0.74
speeding up,Mokita,chill pop,0.535,0.578,4.0,-8.088,1.0,0.069,0.764,0.195,0.097,0.487,111.588,audio_features,6LxK2qgFfhulANhRHLBaDj,spotify:track:6LxK2qgFfhulANhRHLBaDj,https://api.spotify.com/v1/tracks/6LxK2qgFfhulANhRHLBaDj,https://api.spotify.com/v1/audio-analysis/6LxK2qgFfhulANhRHLBaDj,4.0,3.232,4.73,Pop,0.548,0.578,0.071,0.767,0.196,0.494,0.472,0.754
stalker,ElyOtto,hyperpop,0.646,0.789,2.0,-4.556,1.0,0.039,0.039,0.0,0.238,0.854,177.879,audio_features,5lIkxf9apwwahN64CLgGOI,spotify:track:5lIkxf9apwwahN64CLgGOI,https://api.spotify.com/v1/tracks/5lIkxf9apwwahN64CLgGOI,https://api.spotify.com/v1/audio-analysis/5lIkxf9apwwahN64CLgGOI,4.0,1.662,1.66,Pop,0.662,0.79,0.04,0.04,0.0,0.866,0.753,0.832
stephany,glaive,glitchcore,0.506,0.836,9.0,-5.938,1.0,0.155,0.083,0.0,0.094,0.342,154.626,audio_features,4DOvwcmqmeJXcomd7xhleR,spotify:track:4DOvwcmqmeJXcomd7xhleR,https://api.spotify.com/v1/tracks/4DOvwcmqmeJXcomd7xhleR,https://api.spotify.com/v1/audio-analysis/4DOvwcmqmeJXcomd7xhleR,4.0,1.955,50.324,EDM,0.518,0.837,0.16,0.083,0.0,0.347,0.655,0.801
stranger to me,Zachary Knowles,bedroom soul,0.772,0.469,1.0,-7.992,1.0,0.038,0.744,0.0,0.109,0.7,118.057,audio_features,7Jrt2Ipd2qSOKtytwCGEAU,spotify:track:7Jrt2Ipd2qSOKtytwCGEAU,https://api.spotify.com/v1/tracks/7Jrt2Ipd2qSOKtytwCGEAU,https://api.spotify.com/v1/audio-analysis/7Jrt2Ipd2qSOKtytwCGEAU,4.0,2.267,77.941,R&B/Soul,0.791,0.469,0.04,0.747,0.0,0.71,0.5,0.756
striptease,carwash,Unknown,0.693,0.575,8.0,-8.887,1.0,0.073,0.124,0.946,0.102,0.728,130.033,audio_features,62C8Bd6EgEOofLZ1COjF3n,spotify:track:62C8Bd6EgEOofLZ1COjF3n,https://api.spotify.com/v1/tracks/62C8Bd6EgEOofLZ1COjF3n,https://api.spotify.com/v1/audio-analysis/62C8Bd6EgEOofLZ1COjF3n,4.0,2.678,2.665,Unknown,0.71,0.575,0.075,0.124,0.953,0.738,0.551,0.736
summer nights,Skinny Atlas,lo-fi chill,0.521,0.523,6.0,-7.621,1.0,0.036,0.233,0.0,0.403,0.343,145.156,audio_features,0o9t52kMt1yNHE0IDmdu43,spotify:track:0o9t52kMt1yNHE0IDmdu43,https://api.spotify.com/v1/tracks/0o9t52kMt1yNHE0IDmdu43,https://api.spotify.com/v1/audio-analysis/0o9t52kMt1yNHE0IDmdu43,4.0,2.869,5.738,Lo-Fi/Chill,0.534,0.523,0.037,0.234,0.0,0.348,0.615,0.764
summertime,cinnamons,Unknown,0.688,0.704,3.0,-6.315,1.0,0.03,0.104,0.0,0.067,0.849,131.969,audio_features,172zA5Yn0YzayQWvEJuGAm,spotify:track:172zA5Yn0YzayQWvEJuGAm,https://api.spotify.com/v1/tracks/172zA5Yn0YzayQWvEJuGAm,https://api.spotify.com/v1/audio-analysis/172zA5Yn0YzayQWvEJuGAm,4.0,4.197,95.666,Unknown,0.705,0.704,0.031,0.104,0.0,0.861,0.559,0.793
supermarket,carwash,Unknown,0.449,0.842,8.0,-6.094,1.0,0.031,0.391,0.868,0.282,0.915,90.047,audio_features,11cufrIGJ6pbcVqJ205Eqe,spotify:track:11cufrIGJ6pbcVqJ205Eqe,https://api.spotify.com/v1/tracks/11cufrIGJ6pbcVqJ205Eqe,https://api.spotify.com/v1/audio-analysis/11cufrIGJ6pbcVqJ205Eqe,4.0,2.422,0.43,Unknown,0.46,0.843,0.032,0.393,0.874,0.928,0.381,0.798
synopsis,glaive,glitchcore,0.622,0.79,8.0,-5.664,1.0,0.097,0.009,0.0,0.116,0.435,150.032,audio_features,3V5PkCdHl3g1w2uiimU0jT,spotify:track:3V5PkCdHl3g1w2uiimU0jT,https://api.spotify.com/v1/tracks/3V5PkCdHl3g1w2uiimU0jT,https://api.spotify.com/v1/audio-analysis/3V5PkCdHl3g1w2uiimU0jT,4.0,2.053,4.104,EDM,0.637,0.791,0.101,0.009,0.0,0.441,0.635,0.807
talk is overrated,Jeremy Zucker,alt z,0.776,0.353,4.0,-8.317,0.0,0.069,0.435,0.0,0.302,0.658,138.035,audio_features,7cflqPPi3zWfLFRRBTWeh6,spotify:track:7cflqPPi3zWfLFRRBTWeh6,https://api.spotify.com/v1/tracks/7cflqPPi3zWfLFRRBTWeh6,https://api.spotify.com/v1/audio-analysis/7cflqPPi3zWfLFRRBTWeh6,4.0,3.163,3.163,Pop,0.795,0.353,0.071,0.437,0.0,0.667,0.584,0.749
telepatía,Kali Uchis,colombian pop,0.653,0.524,11.0,-9.016,0.0,0.05,0.112,0.0,0.203,0.553,83.97,audio_features,6tDDoYIxWvMLTdKpjFkc1B,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/audio-analysis/6tDDoYIxWvMLTdKpjFkc1B,4.0,2.67,0.0,Pop,0.669,0.524,0.052,0.112,0.0,0.561,0.356,0.733
that way - with Jeremy Zucker,Tate McRae,alt z,0.394,0.398,0.0,-10.202,1.0,0.219,0.573,0.0,0.313,0.361,78.438,audio_features,6W4SftknKhWj0iFoHN7aYU,spotify:track:6W4SftknKhWj0iFoHN7aYU,https://api.spotify.com/v1/tracks/6W4SftknKhWj0iFoHN7aYU,https://api.spotify.com/v1/audio-analysis/6W4SftknKhWj0iFoHN7aYU,3.0,2.905,22.944,Pop,0.404,0.398,0.227,0.575,0.0,0.366,0.332,0.707
the 1 - KIN Remix,blackbear,pop,0.703,0.408,4.0,-7.883,0.0,0.139,0.42,0.0,0.176,0.313,108.026,audio_features,6wnMHTsBUPsiDoWB8LzYgT,spotify:track:6wnMHTsBUPsiDoWB8LzYgT,https://api.spotify.com/v1/tracks/6wnMHTsBUPsiDoWB8LzYgT,https://api.spotify.com/v1/audio-analysis/6wnMHTsBUPsiDoWB8LzYgT,4.0,2.519,2.516,Pop,0.72,0.408,0.144,0.422,0.0,0.317,0.457,0.758
the 1 - NvrLeft Remix,blackbear,pop,0.585,0.952,2.0,-1.498,1.0,0.311,0.004,0.0,0.117,0.343,150.177,audio_features,78UebmUUgYn2F5LwIzgRMO,spotify:track:78UebmUUgYn2F5LwIzgRMO,https://api.spotify.com/v1/tracks/78UebmUUgYn2F5LwIzgRMO,https://api.spotify.com/v1/audio-analysis/78UebmUUgYn2F5LwIzgRMO,4.0,3.093,1.333,Pop,0.599,0.953,0.322,0.004,0.0,0.348,0.636,0.9
the 1 - Rad Cat Remix,blackbear,pop,0.674,0.596,4.0,-6.038,0.0,0.062,0.01,0.0,0.104,0.184,110.066,audio_features,4W6hw11XKWUMDdy6OtRP6l,spotify:track:4W6hw11XKWUMDdy6OtRP6l,https://api.spotify.com/v1/tracks/4W6hw11XKWUMDdy6OtRP6l,https://api.spotify.com/v1/audio-analysis/4W6hw11XKWUMDdy6OtRP6l,4.0,3.309,0.022,Pop,0.691,0.596,0.064,0.01,0.0,0.187,0.466,0.799
the long way home (feat. Sara Kays & Sarcastic Sounds),Powfu,sad lo-fi,0.579,0.402,2.0,-9.687,1.0,0.039,0.777,0.0,0.316,0.516,152.067,audio_features,356Cveas21VQQ6LlbcBMfT,spotify:track:356Cveas21VQQ6LlbcBMfT,https://api.spotify.com/v1/tracks/356Cveas21VQQ6LlbcBMfT,https://api.spotify.com/v1/audio-analysis/356Cveas21VQQ6LlbcBMfT,4.0,3.16,64.675,Lo-Fi/Chill,0.593,0.402,0.041,0.78,0.0,0.523,0.644,0.718
the night is just humming,96 Zeus,lo-fi sleep,0.681,0.066,3.0,-29.287,1.0,0.042,0.991,0.972,0.106,0.161,79.967,audio_features,0giBb5q4vwZi6Zn6BviLgI,spotify:track:0giBb5q4vwZi6Zn6BviLgI,https://api.spotify.com/v1/tracks/0giBb5q4vwZi6Zn6BviLgI,https://api.spotify.com/v1/audio-analysis/0giBb5q4vwZi6Zn6BviLgI,3.0,2.104,4.208,Lo-Fi/Chill,0.698,0.065,0.043,0.995,0.979,0.163,0.339,0.283
this is how i learn to say no,EMELINE,alt z,0.378,0.587,10.0,-7.755,1.0,0.163,0.232,0.0,0.455,0.498,181.452,audio_features,4yb8suVmTLxvSb8hT6EmT6,spotify:track:4yb8suVmTLxvSb8hT6EmT6,https://api.spotify.com/v1/tracks/4yb8suVmTLxvSb8hT6EmT6,https://api.spotify.com/v1/audio-analysis/4yb8suVmTLxvSb8hT6EmT6,3.0,2.383,13.57,Pop,0.387,0.587,0.169,0.233,0.0,0.505,0.768,0.761
this is how you fall in love,Jeremy Zucker,alt z,0.441,0.202,7.0,-12.499,1.0,0.038,0.732,0.0,0.126,0.269,77.971,audio_features,1aEsTgCsv8nOjEgyEoRCpS,spotify:track:1aEsTgCsv8nOjEgyEoRCpS,https://api.spotify.com/v1/tracks/1aEsTgCsv8nOjEgyEoRCpS,https://api.spotify.com/v1/audio-analysis/1aEsTgCsv8nOjEgyEoRCpS,4.0,2.91,13.073,Pop,0.452,0.201,0.039,0.735,0.0,0.273,0.33,0.656
this is what falling in love feels like,JVKE,modern indie pop,0.422,0.44,11.0,-5.53,1.0,0.054,0.617,0.0,0.084,0.332,128.934,audio_features,2PWTZV5znjLtZC5T1EVJvL,spotify:track:2PWTZV5znjLtZC5T1EVJvL,https://api.spotify.com/v1/tracks/2PWTZV5znjLtZC5T1EVJvL,https://api.spotify.com/v1/audio-analysis/2PWTZV5znjLtZC5T1EVJvL,5.0,2.005,23.515,Pop,0.432,0.44,0.056,0.619,0.0,0.337,0.546,0.81
this is what falling in love feels like - Leon Leiden Remix,JVKE,modern indie pop,0.411,0.547,11.0,-4.815,1.0,0.071,0.66,0.0,0.078,0.552,128.44,audio_features,0T2zPVlS2Oyy0BXlmvYKTe,spotify:track:0T2zPVlS2Oyy0BXlmvYKTe,https://api.spotify.com/v1/tracks/0T2zPVlS2Oyy0BXlmvYKTe,https://api.spotify.com/v1/audio-analysis/0T2zPVlS2Oyy0BXlmvYKTe,5.0,2.003,1.173,Pop,0.421,0.547,0.073,0.663,0.0,0.56,0.544,0.826
this is what heartbreak feels like,JVKE,modern indie pop,0.707,0.474,1.0,-4.603,1.0,0.067,0.578,0.0,0.11,0.538,109.991,audio_features,4RxdAzEmkPXTiIU6ULLoXh,spotify:track:4RxdAzEmkPXTiIU6ULLoXh,https://api.spotify.com/v1/tracks/4RxdAzEmkPXTiIU6ULLoXh,https://api.spotify.com/v1/audio-analysis/4RxdAzEmkPXTiIU6ULLoXh,4.0,2.627,1.221,Pop,0.724,0.474,0.07,0.58,0.0,0.546,0.466,0.831
time machine,mj apanay,bedroom r&b,0.652,0.256,10.0,-13.4,0.0,0.08,0.874,0.0,0.163,0.408,119.414,audio_features,2ch4KLYvi9ZGq2pNyEsMom,spotify:track:2ch4KLYvi9ZGq2pNyEsMom,https://api.spotify.com/v1/tracks/2ch4KLYvi9ZGq2pNyEsMom,https://api.spotify.com/v1/audio-analysis/2ch4KLYvi9ZGq2pNyEsMom,3.0,3.766,0.276,R&B/Soul,0.668,0.255,0.083,0.878,0.0,0.414,0.506,0.636
time travel,chief.,lo-fi beats,0.382,0.18,9.0,-14.781,0.0,0.048,0.887,0.816,0.097,0.075,153.347,audio_features,2LZtTBORHwvehJlJZBQCJB,spotify:track:2LZtTBORHwvehJlJZBQCJB,https://api.spotify.com/v1/tracks/2LZtTBORHwvehJlJZBQCJB,https://api.spotify.com/v1/audio-analysis/2LZtTBORHwvehJlJZBQCJB,4.0,2.163,2.163,Lo-Fi/Chill,0.391,0.179,0.05,0.891,0.822,0.076,0.649,0.605
tomorrow tonight,Loote,alt z,0.32,0.5,3.0,-7.979,1.0,0.099,0.134,0.0,0.108,0.142,91.361,audio_features,4vsAUbPb6q9FpC4AGBFdVh,spotify:track:4vsAUbPb6q9FpC4AGBFdVh,https://api.spotify.com/v1/tracks/4vsAUbPb6q9FpC4AGBFdVh,https://api.spotify.com/v1/audio-analysis/4vsAUbPb6q9FpC4AGBFdVh,4.0,3.377,243.756,Pop,0.328,0.5,0.103,0.135,0.0,0.144,0.387,0.756
too many feelings,Ruel,alt z,0.754,0.706,5.0,-6.145,1.0,0.092,0.237,0.0,0.097,0.536,81.943,audio_features,3tb3sGsGLnSsyUxue8Aetd,spotify:track:3tb3sGsGLnSsyUxue8Aetd,https://api.spotify.com/v1/tracks/3tb3sGsGLnSsyUxue8Aetd,https://api.spotify.com/v1/audio-analysis/3tb3sGsGLnSsyUxue8Aetd,4.0,3.116,9.34,Pop,0.773,0.706,0.096,0.238,0.0,0.544,0.347,0.797
top gun,bbno$,canadian hip hop,0.572,0.881,2.0,-5.041,1.0,0.142,0.028,0.0,0.342,0.784,160.182,audio_features,7lQyUSFLyCa8o4rBxsUNPU,spotify:track:7lQyUSFLyCa8o4rBxsUNPU,https://api.spotify.com/v1/tracks/7lQyUSFLyCa8o4rBxsUNPU,https://api.spotify.com/v1/audio-analysis/7lQyUSFLyCa8o4rBxsUNPU,4.0,2.352,2.352,Hip-Hop/Rap,0.586,0.882,0.147,0.028,0.0,0.795,0.678,0.821
u love u (with Tate McRae),blackbear,pop,0.544,0.704,4.0,-5.678,0.0,0.044,0.016,0.0,0.164,0.265,80.029,audio_features,4RCpHnkhMmm67EKbI4aEO7,spotify:track:4RCpHnkhMmm67EKbI4aEO7,https://api.spotify.com/v1/tracks/4RCpHnkhMmm67EKbI4aEO7,https://api.spotify.com/v1/audio-analysis/4RCpHnkhMmm67EKbI4aEO7,4.0,3.151,121.465,Pop,0.557,0.704,0.045,0.016,0.0,0.269,0.339,0.807
u.,niteboi,drift phonk,0.483,0.531,4.0,-10.091,0.0,0.06,0.058,0.906,0.111,0.097,123.942,audio_features,3bwIVaOlLSX4rInoLgB3uX,spotify:track:3bwIVaOlLSX4rInoLgB3uX,https://api.spotify.com/v1/tracks/3bwIVaOlLSX4rInoLgB3uX,https://api.spotify.com/v1/audio-analysis/3bwIVaOlLSX4rInoLgB3uX,4.0,2.905,2.903,EDM,0.495,0.531,0.063,0.058,0.912,0.099,0.525,0.709
ungli,Choti Ungli,Unknown,0.712,0.569,2.0,-11.809,1.0,0.146,0.034,0.0,0.373,0.074,120.946,audio_features,0F8QIEDGaGQeUyGbKwfr1R,spotify:track:0F8QIEDGaGQeUyGbKwfr1R,https://api.spotify.com/v1/tracks/0F8QIEDGaGQeUyGbKwfr1R,https://api.spotify.com/v1/audio-analysis/0F8QIEDGaGQeUyGbKwfr1R,4.0,2.414,0.488,Unknown,0.73,0.569,0.151,0.034,0.0,0.075,0.512,0.671
up at night (feat. justin bieber),Kehlani,pop,0.563,0.756,0.0,-3.852,0.0,0.058,0.196,0.0,0.245,0.234,100.012,audio_features,4WghJOMjDpGdlk3b8aJIgy,spotify:track:4WghJOMjDpGdlk3b8aJIgy,https://api.spotify.com/v1/tracks/4WghJOMjDpGdlk3b8aJIgy,https://api.spotify.com/v1/audio-analysis/4WghJOMjDpGdlk3b8aJIgy,4.0,3.037,4.992,Pop,0.577,0.756,0.06,0.197,0.0,0.237,0.423,0.848
up to something,Ruel,alt z,0.691,0.465,3.0,-8.061,0.0,0.05,0.083,0.0,0.126,0.291,96.02,audio_features,0363Rz5nMpTlYWZ4kmjM2L,spotify:track:0363Rz5nMpTlYWZ4kmjM2L,https://api.spotify.com/v1/tracks/0363Rz5nMpTlYWZ4kmjM2L,https://api.spotify.com/v1/audio-analysis/0363Rz5nMpTlYWZ4kmjM2L,4.0,2.988,2.988,Pop,0.708,0.465,0.052,0.083,0.0,0.295,0.407,0.754
upsides,Nic D,singer-songwriter pop,0.719,0.495,10.0,-5.889,0.0,0.18,0.091,0.0,0.104,0.471,84.983,audio_features,4cwrZdlGau9HsvmqXK44cd,spotify:track:4cwrZdlGau9HsvmqXK44cd,https://api.spotify.com/v1/tracks/4cwrZdlGau9HsvmqXK44cd,https://api.spotify.com/v1/audio-analysis/4cwrZdlGau9HsvmqXK44cd,4.0,2.26,1.185,Pop,0.737,0.495,0.186,0.092,0.0,0.478,0.36,0.802
used to,Josh Golden,la pop,0.622,0.723,7.0,-5.219,0.0,0.051,0.396,0.0,0.61,0.436,139.958,audio_features,5vF8nrR4e8V8Rj2itbrC9B,spotify:track:5vF8nrR4e8V8Rj2itbrC9B,https://api.spotify.com/v1/tracks/5vF8nrR4e8V8Rj2itbrC9B,https://api.spotify.com/v1/audio-analysis/5vF8nrR4e8V8Rj2itbrC9B,4.0,3.018,315.975,Pop,0.637,0.723,0.053,0.398,0.0,0.442,0.593,0.817
vendetta!,MUPP,drift phonk,0.706,0.91,1.0,-3.527,1.0,0.146,0.175,0.0,0.11,0.667,126.007,audio_features,5Sk39LuvdwuvL84jD01Dum,spotify:track:5Sk39LuvdwuvL84jD01Dum,https://api.spotify.com/v1/tracks/5Sk39LuvdwuvL84jD01Dum,https://api.spotify.com/v1/audio-analysis/5Sk39LuvdwuvL84jD01Dum,4.0,1.784,13.519,EDM,0.723,0.911,0.151,0.176,0.0,0.676,0.533,0.855
vendetta! - sped up,MUPP,drift phonk,0.654,0.944,1.0,-3.207,1.0,0.223,0.207,0.0,0.126,0.632,147.308,audio_features,0D45ixbwxjkT4S7V1kpt5y,spotify:track:0D45ixbwxjkT4S7V1kpt5y,https://api.spotify.com/v1/tracks/0D45ixbwxjkT4S7V1kpt5y,https://api.spotify.com/v1/audio-analysis/0D45ixbwxjkT4S7V1kpt5y,4.0,1.526,1.526,EDM,0.67,0.945,0.231,0.208,0.0,0.641,0.624,0.862
very bad,Pomme,french pop,0.409,0.24,5.0,-8.844,1.0,0.034,0.956,0.0,0.744,0.393,84.894,audio_features,6RDprVH0kpTInb9gCjsjTj,spotify:track:6RDprVH0kpTInb9gCjsjTj,https://api.spotify.com/v1/tracks/6RDprVH0kpTInb9gCjsjTj,https://api.spotify.com/v1/audio-analysis/6RDprVH0kpTInb9gCjsjTj,4.0,3.96,13.065,Pop,0.419,0.239,0.036,0.96,0.0,0.399,0.359,0.737
virgo,Jadu Jadu,Unknown,0.712,0.442,7.0,-9.097,0.0,0.679,0.274,0.0,0.094,0.176,143.451,audio_features,0Zf6XBkEVhs8TRaMaOpo8v,spotify:track:0Zf6XBkEVhs8TRaMaOpo8v,https://api.spotify.com/v1/tracks/0Zf6XBkEVhs8TRaMaOpo8v,https://api.spotify.com/v1/audio-analysis/0Zf6XBkEVhs8TRaMaOpo8v,4.0,1.017,2.03,Unknown,0.73,0.442,0.703,0.275,0.0,0.178,0.607,0.731
voicemails,nøll,Unknown,0.753,0.558,10.0,-6.707,0.0,0.042,0.216,0.0,0.939,0.576,120.055,audio_features,1TJWMiPWkDkPma4XE2ovhp,spotify:track:1TJWMiPWkDkPma4XE2ovhp,https://api.spotify.com/v1/tracks/1TJWMiPWkDkPma4XE2ovhp,https://api.spotify.com/v1/audio-analysis/1TJWMiPWkDkPma4XE2ovhp,4.0,3.367,30.417,Unknown,0.772,0.558,0.044,0.217,0.0,0.584,0.508,0.784
waiting for you,lost.mindd,Unknown,0.644,0.122,2.0,-20.526,1.0,0.029,0.98,0.936,0.097,0.241,73.986,audio_features,4d0KXg2NHpMnVBSYg4lSFl,spotify:track:4d0KXg2NHpMnVBSYg4lSFl,https://api.spotify.com/v1/tracks/4d0KXg2NHpMnVBSYg4lSFl,https://api.spotify.com/v1/audio-analysis/4d0KXg2NHpMnVBSYg4lSFl,4.0,1.777,3.554,Unknown,0.66,0.121,0.03,0.984,0.943,0.244,0.313,0.478
wake me when its over,Vorsa,lo-fi chill,0.682,0.449,7.0,-10.219,1.0,0.032,0.651,0.001,0.094,0.247,82.465,audio_features,7CaCltSC1kWO2ft4ZvTHVT,spotify:track:7CaCltSC1kWO2ft4ZvTHVT,https://api.spotify.com/v1/tracks/7CaCltSC1kWO2ft4ZvTHVT,https://api.spotify.com/v1/audio-analysis/7CaCltSC1kWO2ft4ZvTHVT,4.0,2.464,46.284,Lo-Fi/Chill,0.699,0.449,0.033,0.654,0.001,0.251,0.349,0.706
walking around with no hands,glaive,glitchcore,0.64,0.526,7.0,-6.643,1.0,0.041,0.01,0.0,0.096,0.526,150.027,audio_features,26ZGLRIOtKcio6vF5ZVVd1,spotify:track:26ZGLRIOtKcio6vF5ZVVd1,https://api.spotify.com/v1/tracks/26ZGLRIOtKcio6vF5ZVVd1,https://api.spotify.com/v1/audio-analysis/26ZGLRIOtKcio6vF5ZVVd1,4.0,2.027,7.955,EDM,0.656,0.526,0.042,0.01,0.0,0.533,0.635,0.786
